idx,autoname,type,name
116,60_Record_location.UTM_Easting,unuseful,
117,60_Record_location.UTM_Zone,unuseful,
118,65_Record_location.latitude,unuseful,
119,65_Record_location.longitude,unuseful,
120,65_Record_location.accuracy,unuseful,
121,65_Record_location.UTM_Northing,unuseful,
122,65_Record_location.UTM_Easting,unuseful,
123,65_Record_location.UTM_Zone,unuseful,
124,74_Record_location.latitude,unuseful,
125,74_Record_location.longitude,unuseful,
126,74_Record_location.accuracy,unuseful,
127,74_Record_location.UTM_Northing,unuseful,
128,74_Record_location.UTM_Easting,unuseful,
129,74_Record_location.UTM_Zone,unuseful,
130,79_Record_location.latitude,unuseful,
131,79_Record_location.longitude,unuseful,
132,79_Record_location.accuracy,unuseful,
133,79_Record_location.UTM_Northing,unuseful,
134,79_Record_location.UTM_Easting,unuseful,
135,79_Record_location.UTM_Zone,unuseful,
136,84_Record_location.latitude,unuseful,
137,84_Record_location.longitude,unuseful,
138,84_Record_location.accuracy,unuseful,
139,84_Record_location.UTM_Northing,unuseful,
140,84_Record_location.UTM_Easting,unuseful,
141,84_Record_location.UTM_Zone,unuseful,
142,89_Record_location.latitude,unuseful,
143,89_Record_location.longitude,unuseful,
144,89_Record_location.accuracy,unuseful,
145,89_Record_location.UTM_Northing,unuseful,
146,89_Record_location.UTM_Easting,unuseful,
147,89_Record_location.UTM_Zone,unuseful,
148,94_Record_location.latitude,unuseful,
149,94_Record_location.longitude,unuseful,
150,94_Record_location.accuracy,unuseful,
151,94_Record_location.UTM_Northing,unuseful,
152,94_Record_location.UTM_Easting,unuseful,
153,94_Record_location.UTM_Zone,unuseful,
